Municipality,Facility Name,Latitude,Longitude,Address,Phone Number,Categoria
Bayamón,COMMUNITY HEALTH FOUNDATION OF PUERTO RICO,18.36159,-66.19504,"Bo. Hato Tejas Carr. 167, Km. 20.3, Bayamón, PR 00959",(787) 780-1273,centro-330
Carolina,"COSSMA, INC.",18.39768,-65.95551,"Ave. Fagot #678, Carolina, PR 00985",(787) 939-2000,centro-330
Guaynabo,"NEOMED CENTER, INC.",18.38462,-66.11181,"Calle A #42, Santa Clara, Guaynabo, PR 00969",(787) 789-2222,centro-330
San Juan,"ATLANTIC MEDICAL CENTER, INC. - SAN JUAN",18.37916,-66.0712,"Carr. 1, Km 23.3, San Juan, PR 00926",(787) 993-2700,centro-330
San Juan,COSSMA INC. PUERTO NUEVO,18.41163,-66.08483,"Calle B #4, Urb. Reparto Amet, Puerto Nuevo, San Juan, PR 00920",(787) 782-5527,centro-330
San Juan,CORPORACIÓN DE SERVICIOS DE SALUD - SANTURCE,18.44199,-66.0743,"Ave. Ponce de León 1459, Santurce, PR 00907",(787) 728-6444,centro-330
San Juan,"COSSMA, INC. - CUPEY",18.3683,-66.0465,"PR-845, Km 4.1, Bo. Cupey Bajo, San Juan, PR 00926",(787) 760-4444,centro-330
Toa Alta,"TOA ALTA I: SALUD INTEGRAL EN LA MONTAÑA, INC.",18.35759,-66.24279,"PR-824, Km 0.4, Bo. Piña, Toa Alta, PR 00953",(787) 870-0008,centro-330
Toa Alta,"TOA ALTA II: SALUD INTEGRAL EN LA MONTAÑA, INC.",18.38883,-66.2483,"Carr. 863, Km 1.5, Toa Alta, PR 00953",(787) 545-8808,centro-330
Toa Baja,MOROVIS COMMUNITY HEALTH CENTER - TOA BAJA,18.43577,-66.19507,"PR-2, Km 19.4, Bayamón, PR 00957",(939) 399-0042,centro-330
Trujillo Alto,"SALUD INTEGRAL EN LA MONTAÑA, INC.",18.33647,-66.0121,"PR-199, Km 0.5, Bo. Dos Bocas, Trujillo Alto, PR 00976",(787) 748-0200,centro-330
Bayamón,FRESENIUS MEDICAL CARE SANTA JUANITA,18.37568,-66.13689,"Carr. 830, Km 2.5, Bo. Santa Juanita, Bayamón, PR 00956",(787) 523-1417,dialisis
Bayamón,FRESENIUS MEDICAL CARE BAYAMON,18.39659,-66.15573,"Ave. Main 623, Bayamón, PR 00959",(787) 787-9353,dialisis
Carolina,FRESENIUS MEDICAL CARE CAROLINA,18.39859,-66.0028,"Ave. 65 de Infantería, Km 8.5, Carolina, PR 00985",(787) 762-2252,dialisis
Carolina,"RENTROP CARIBBEAN, INC. - CAROLINA",18.42398,-66.00552,"Carr. 887, Esq. Ave. 65 de Infantería, Carolina, PR 00979",(787) 750-1490,dialisis
Dorado,THE RENAL CENTRE OF DORADO,18.4697,-66.2691,"PR-693, Km 5.6, Dorado, PR 00646",(787) 292-7979,dialisis
Guaynabo,FRESENIUS MEDICAL CARE GUAYNABO,18.37568,-66.11309,"Carr. 1, Km 17.5, Guaynabo, PR 00966",(787) 793-2790,dialisis
